Week,Day,2017,2018,2019,2020,2021
Week 1,Monday,0.0,0.0,1877.88,1776.2399999999998,1855.74
Week 1,Tuesday,0.0,1222.9499999999998,0.0,2336.4300000000003,1305.3300000000002
Week 1,Wednesday,0.0,2021.75,2181.7200000000003,0.0,2450.8900000000003
Week 1,Thursday,0.0,1602.64,1838.6,1456.68,1986.8000000000002
Week 1,Friday,0.0,1896.04,2267.91,1830.02,2574.28
Week 1,Saturday,0.0,3026.8199999999997,2209.3199999999997,1453.8200000000002,2073.3
Week 1,Sunday,0.0,1309.79,1399.46,1516.07,1313.59
Week 1,Total,0.0,11079.990000000002,11774.89,10369.26,13559.93
Week 2,Monday,0.0,1559.6,2113.85,1470.7399999999998,1238.31
Week 2,Tuesday,0.0,1652.02,1545.1999999999998,1325.19,1322.14
Week 2,Wednesday,0.0,2940.0699999999997,1818.3,2331.95,1823.0300000000002
Week 2,Thursday,0.0,2397.74,2179.65,1370.06,2166.32
Week 2,Friday,0.0,2083.58,2885.7200000000003,2545.41,1820.27
Week 2,Saturday,0.0,2307.98,2480.8500000000004,2329.35,1724.4900000000002
Week 2,Sunday,0.0,1286.19,1653.8300000000002,1501.89,1464.06
Week 2,Total,0.0,14227.18,14677.400000000001,12874.589999999998,11558.619999999999
Week 3,Monday,0.0,1183.96,1290.25,1179.59,1013.16
Week 3,Tuesday,0.0,1440.6299999999999,1453.13,1127.22,1161.6000000000001
Week 3,Wednesday,0.0,1507.1200000000001,2677.3999999999996,1609.68,1354.8200000000002
Week 3,Thursday,0.0,2091.92,1773.1699999999998,1852.34,1469.6
Week 3,Friday,0.0,2560.3900000000003,2460.01,2759.71,1336.4299999999998
Week 3,Saturday,0.0,2059.95,2483.9700000000003,2061.4300000000003,1172.58
Week 3,Sunday,0.0,1401.4,1506.83,1683.55,1490.25
Week 3,Total,0.0,12245.37,13644.76,12273.52,8998.44
Week 4,Monday,0.0,1337.97,1194.92,1251.46,907.22
Week 4,Tuesday,0.0,1239.72,1508.36,1553.27,1322.1000000000001
Week 4,Wednesday,0.0,1982.57,2499.65,2192.09,1467.92
Week 4,Thursday,0.0,1753.62,1848.59,1789.63,879.0
Week 4,Friday,0.0,2410.0299999999997,2358.5099999999998,2293.58,0.0
Week 4,Saturday,0.0,2981.81,2664.02,1574.01,0.0
Week 4,Sunday,0.0,834.23,1980.26,1470.2000000000003,0.0
Week 4,Total,0.0,12539.949999999999,14054.310000000001,12124.24,4576.24
Week 5,Monday,0.0,942.73,1584.98,1051.55,1194.81
Week 5,Tuesday,0.0,1019.51,1832.25,1888.48,1096.88
Week 5,Wednesday,0.0,2101.34,2201.34,1478.05,1068.79
Week 5,Thursday,0.0,2040.4700000000003,2251.07,2138.66,1470.05
Week 5,Friday,0.0,2964.66,2212.75,2429.89,2281.21
Week 5,Saturday,0.0,2363.8599999999997,2289.37,1561.97,1988.8999999999999
Week 5,Sunday,0.0,1386.65,1382.8000000000002,1414.8,1433.79
Week 5,Total,0.0,12819.22,13754.559999999998,11963.399999999998,10534.43
Week 6,Monday,0.0,1030.31,1440.95,1136.47,1123.07
Week 6,Tuesday,0.0,1087.76,1490.56,1291.39,1565.04
Week 6,Wednesday,0.0,1290.07,1652.36,1631.72,1790.4299999999998
Week 6,Thursday,0.0,2081.81,2266.2,2139.7599999999998,1994.96
Week 6,Friday,0.0,2208.13,2934.22,2868.2799999999997,2034.2799999999997
Week 6,Saturday,0.0,1977.6,2594.62,1907.06,2075.4900000000002
Week 6,Sunday,0.0,978.45,2090.6,1471.7099999999998,1152.15
Week 6,Total,0.0,10654.13,14469.51,12446.389999999998,11735.419999999998
Week 7,Monday,0.0,1251.47,1519.62,1466.89,1201.33
Week 7,Tuesday,0.0,1380.05,2810.5,1640.34,1739.34
Week 7,Wednesday,0.0,2322.97,2247.07,2364.69,1378.0800000000002
Week 7,Thursday,0.0,2143.6,2326.42,2435.56,2098.24
Week 7,Friday,0.0,2233.27,2112.66,2713.9300000000003,2469.02
Week 7,Saturday,0.0,1797.8,3015.66,2280.45,1551.32
Week 7,Sunday,0.0,1699.03,1922.8100000000002,1510.0600000000002,781.6200000000001
Week 7,Total,0.0,12828.19,15954.74,14411.92,11218.95
Week 8,Monday,0.0,1401.81,1507.68,1805.69,1489.34
Week 8,Tuesday,0.0,1212.6499999999999,1666.67,1612.55,1350.8700000000001
Week 8,Wednesday,0.0,1921.8,2711.96,1800.81,1402.47
Week 8,Thursday,0.0,1937.69,2508.09,2766.9,2172.0800000000004
Week 8,Friday,0.0,2601.32,2582.46,2958.3100000000004,3004.11
Week 8,Saturday,0.0,2843.92,2460.49,2204.04,1805.01
Week 8,Sunday,0.0,1307.99,1508.08,2011.3899999999999,908.97
Week 8,Total,0.0,13227.18,14945.43,15159.689999999999,12132.85
Week 9,Monday,0.0,1207.02,1999.75,1560.14,1884.44
Week 9,Tuesday,0.0,1009.3699999999999,2006.4099999999999,1710.08,1407.75
Week 9,Wednesday,0.0,2003.75,1793.4099999999999,2331.66,1603.48
Week 9,Thursday,0.0,2211.4500000000003,2397.06,2402.07,2189.7400000000002
Week 9,Friday,0.0,2294.6,3001.11,2834.7799999999997,2120.54
Week 9,Saturday,0.0,2107.92,2466.84,2684.67,1782.07
Week 9,Sunday,0.0,1090.44,1501.5,1878.47,2086.17
Week 9,Total,0.0,11924.550000000001,15166.08,15401.869999999999,13074.19
Week 10,Monday,0.0,1423.56,2201.24,1610.19,1908.8400000000001
Week 10,Tuesday,0.0,1217.3300000000002,1649.21,1439.36,1287.15
Week 10,Wednesday,0.0,1700.44,2811.52,2441.88,1795.1000000000001
Week 10,Thursday,0.0,2322.13,2747.67,2725.5299999999997,2240.3500000000004
Week 10,Friday,0.0,2568.71,2653.6,2940.23,2349.3
Week 10,Saturday,0.0,2422.18,2171.9,2280.3599999999997,2091.45
Week 10,Sunday,0.0,1814.96,1890.3,1788.5099999999998,1169.69
Week 10,Total,0.0,13469.310000000001,16125.439999999999,15226.06,12841.880000000003
Week11,Monday,0.0,1158.08,1971.19,1500.79,1978.18
Week11,Tuesday,0.0,1449.8,2135.87,1577.35,2001.26
Week11,Wednesday,0.0,1711.8400000000001,2503.98,2401.17,4378.849999999999
Week11,Thursday,0.0,2338.18,2741.56,2523.6400000000003,1675.3
Week11,Friday,0.0,2205.39,3227.8599999999997,2036.6399999999999,2612.04
Week11,Saturday,0.0,4426.94,3479.47,1950.18,2266.15
Week11,Sunday,0.0,1134.9,5569.07,1411.4,1450.9099999999999
Week11,Total,0.0,14425.13,21629.0,13401.17,16362.689999999997
Week 12,Monday,0.0,1250.19,1595.1100000000001,1304.0900000000001,1344.83
Week 12,Tuesday,0.0,1518.0099999999998,2045.6399999999999,1253.87,2175.3199999999997
Week 12,Wednesday,0.0,1683.53,3012.08,0.0,2006.27
Week 12,Thursday,0.0,2328.36,2644.66,0.0,2323.6899999999996
Week 12,Friday,0.0,2560.84,2715.21,0.0,2795.9900000000002
Week 12,Saturday,0.0,2377.53,2976.2599999999998,0.0,2618.2999999999997
Week 12,Sunday,0.0,1403.96,2340.1800000000003,0.0,1377.1999999999998
Week 12,Total,0.0,13122.420000000002,17329.14,2557.96,14641.599999999999
Week 13,Monday,0.0,1179.6100000000001,1696.88,0.0,1608.6699999999998
Week 13,Tuesday,0.0,1194.55,1420.1599999999999,0.0,1748.11
Week 13,Wednesday,0.0,2063.12,2663.67,0.0,2371.42
Week 13,Thursday,0.0,1789.29,2625.3,0.0,2115.37
Week 13,Friday,0.0,2157.35,2843.2699999999995,0.0,2073.66
Week 13,Saturday,0.0,1767.3600000000001,2455.2,0.0,2259.46
Week 13,Sunday,0.0,923.28,1313.1,0.0,1730.2800000000002
Week 13,Total,0.0,11074.560000000001,15017.58,0.0,13906.97
Q1,Total,0.0,163637.18,198542.84,148210.07,155142.21000000002
